Attack Type,Affected Modality,Severity,Accuracy (%),Precision (%),Recall (%),F1-score (%),PR-AUC,Brier,ROC-AUC
URL Shortening,URL,0.0,98.33333333333333,97.07792207792207,99.66666666666667,98.35526315789474,0.9984608763524916,0.023802482056472514,0.9984777777777778
URL Shortening,URL,0.25,98.16666666666667,96.76375404530745,99.66666666666667,98.19376026272579,0.998395196960127,0.02467523814690998,0.9984000000000001
URL Shortening,URL,0.5,98.0,96.45161290322581,99.66666666666667,98.0327868852459,0.9983256225402234,0.02568974150400423,0.9983222222222223
URL Shortening,URL,0.75,97.83333333333334,96.14147909967846,99.66666666666667,97.87234042553192,0.9981697599099743,0.026855246959298203,0.9981444444444445
Homoglyph Domain,URL,0.0,98.33333333333333,97.07792207792207,99.66666666666667,98.35526315789474,0.9984608763524916,0.023802482056472514,0.9984777777777778
Homoglyph Domain,URL,0.25,98.16666666666667,96.76375404530745,99.66666666666667,98.19376026272579,0.998395196960127,0.02467523814690998,0.9984000000000001
Homoglyph Domain,URL,0.5,98.0,96.45161290322581,99.66666666666667,98.0327868852459,0.9983256225402234,0.02568974150400423,0.9983222222222223
Homoglyph Domain,URL,0.75,97.83333333333334,96.14147909967846,99.66666666666667,97.87234042553192,0.9981697599099743,0.026855246959298203,0.9981444444444445
Image-only Email Lure,Email,0.0,98.33333333333333,97.07792207792207,99.66666666666667,98.35526315789474,0.9984608763524916,0.023802482056472514,0.9984777777777778
Image-only Email Lure,Email,0.25,97.66666666666667,96.12903225806451,99.33333333333333,97.70491803278688,0.998453675351184,0.0299071603308731,0.9984555555555557
Image-only Email Lure,Email,0.5,96.5,94.28571428571428,99.0,96.58536585365853,0.9979328049161867,0.039946550874180635,0.9978888888888889
Image-only Email Lure,Email,0.75,95.16666666666667,92.74447949526814,98.0,95.2998379254457,0.9960668867933263,0.05581794344953425,0.9958444444444445
Visually Cloned Landing Page,Webpage,0.0,98.33333333333333,97.07792207792207,99.66666666666667,98.35526315789474,0.9984608763524916,0.023802482056472514,0.9984777777777778
Visually Cloned Landing Page,Webpage,0.25,98.33333333333333,97.07792207792207,99.66666666666667,98.35526315789474,0.9983774217352894,0.027635711185125155,0.9983777777777778
Visually Cloned Landing Page,Webpage,0.5,98.0,96.45161290322581,99.66666666666667,98.0327868852459,0.9979905589071847,0.034253087407880786,0.9980333333333333
Visually Cloned Landing Page,Webpage,0.75,96.66666666666667,94.30379746835443,99.33333333333333,96.75324675324676,0.9969342468641545,0.04457861437242472,0.9969888888888889
Multi-stage Obfuscation,All,0.0,98.33333333333333,97.07792207792207,99.66666666666667,98.35526315789474,0.9984608763524916,0.023802482056472514,0.9984777777777778
Multi-stage Obfuscation,All,0.25,97.66666666666667,95.83333333333334,99.66666666666667,97.7124183006536,0.9984608763524916,0.036410729273012796,0.9984777777777778
Multi-stage Obfuscation,All,0.5,97.5,95.52715654952077,99.66666666666667,97.55301794453507,0.9984608763524916,0.0659420238037119,0.9984777777777778
Multi-stage Obfuscation,All,0.75,94.16666666666667,89.7897897897898,99.66666666666667,94.47077409162718,0.9984608763524916,0.13205384146737822,0.9984777777777778
