Feature,Coefficient,AbsCoefficient,Direction,Modality
email::money,2.647767297210164,2.647767297210164,Phishing,Email
email::click,2.444940142523064,2.444940142523064,Phishing,Email
email::account,2.4381345063703597,2.4381345063703597,Phishing,Email
email::life,2.236977422847965,2.236977422847965,Phishing,Email
email::0300,2.1976699639364137,2.1976699639364137,Phishing,Email
email::love,2.0969472427336746,2.0969472427336746,Phishing,Email
email::net,1.8018520992584588,1.8018520992584588,Phishing,Email
email::watches,1.7248664050928275,1.7248664050928275,Phishing,Email
email::aug 2008,1.6853378812322712,1.6853378812322712,Phishing,Email
email::replica,1.60229177655154,1.60229177655154,Phishing,Email
email::bank,1.5979856266863375,1.5979856266863375,Phishing,Email
email::online,1.5818867936794216,1.5818867936794216,Phishing,Email
email::want,1.557726693602275,1.557726693602275,Phishing,Email
email::men,1.4794868954371185,1.4794868954371185,Phishing,Email
email::site,1.453616195553075,1.453616195553075,Phishing,Email
email::wrote,-4.454774331975305,4.454774331975305,Legitimate,Email
email::enron,-3.8343256727452366,3.8343256727452366,Legitimate,Email
email::thanks,-2.6934753229215773,2.6934753229215773,Legitimate,Email
email::list,-1.9804820451134741,1.9804820451134741,Legitimate,Email
email::attached,-1.9797533829853762,1.9797533829853762,Legitimate,Email
email::im,-1.9396055310976934,1.9396055310976934,Legitimate,Email
email::pm,-1.9223354875817857,1.9223354875817857,Legitimate,Email
email::university,-1.9107714491562178,1.9107714491562178,Legitimate,Email
email::file,-1.8683163845816602,1.8683163845816602,Legitimate,Email
email::2001,-1.785037584769922,1.785037584769922,Legitimate,Email
email::opensuse,-1.770630966761531,1.770630966761531,Legitimate,Email
email::perl,-1.7532308047480705,1.7532308047480705,Legitimate,Email
email::date,-1.7039080873813637,1.7039080873813637,Legitimate,Email
email::2000,-1.6761644790462884,1.6761644790462884,Legitimate,Email
email::2007,-1.631739417968347,1.631739417968347,Legitimate,Email
url_char::org,1.61602267038045,1.61602267038045,Phishing,URL
url_char::.org,1.5746142882089011,1.5746142882089011,Phishing,URL
url_char::.or,1.5570020789596726,1.5570020789596726,Phishing,URL
url_char::.de,1.0708860872785606,1.0708860872785606,Phishing,URL
url_char::.gov,0.9239977098156562,0.9239977098156562,Phishing,URL
url_char::.ca,0.8653764007696374,0.8653764007696374,Phishing,URL
url_char::.uk,0.8595455973656544,0.8595455973656544,Phishing,URL
url_char::ia.,0.8442322890289689,0.8442322890289689,Phishing,URL
url_char::.fr,0.8248406582279824,0.8248406582279824,Phishing,URL
url_char::gov,0.8248037060618116,0.8248037060618116,Phishing,URL
url_char::.nl,0.8038802108291211,0.8038802108291211,Phishing,URL
