System,Result_Type,Accuracy,Robustness,Interpretability,Calibration,Usability,Overall Decision Quality
Email-only,Model,0.9533333333333335,0.9922527777777777,0.85,0.8734713983005638,0.88,0.909811501882335
URL-only,Model,0.8266666666666667,0.8894111111111112,0.85,0.8572912801231695,0.88,0.8606738115801894
Webpage-HTML-only,Model,0.92,0.9719791666666667,0.85,0.9468405164972968,0.88,0.9137639366327928
Email + URL,Bimodal,0.9966666666666667,1.0,0.85,0.0,0.88,0.7453333333333333
Email + Webpage,Bimodal,0.9816666666666667,0.9975777777777779,0.85,0.0,0.88,0.7418488888888889
URL + Webpage,Bimodal,0.9983333333333333,0.9999777777777779,0.85,0.0,0.88,0.7456622222222222
Email + URL + Webpage (Proposed),Trimodal,0.9983333333333333,0.9999888888888889,0.85,0.0,0.88,0.7456644444444445
Late Fusion Meta-classifier,Model,0.9833333333333333,0.9984777777777778,0.85,0.912586530881565,0.88,0.9248795283985352
Constrained Balanced Weighted Fusion,Model,0.9833333333333333,0.9980777777777778,0.85,0.7893005106913191,0.88,0.900142324360486
Performance-Optimized Fusion,Model,0.97,0.9972444444444445,0.85,0.7644510991867479,0.88,0.8923391087262385
