Model,Accuracy (%),Precision (%),Recall (%),F1-score (%),PR-AUC,Brier,ROC-AUC,ECE,Result_Type,Email Weight,URL Weight,Webpage Weight
Email-only,95.33333333333334,94.59016393442623,96.16666666666667,95.37190082644628,0.9921976918481257,0.0533510158831065,0.9922527777777777,0.1265286016994362,,,,
URL-only,82.66666666666667,77.52808988764045,92.0,84.14634146341463,0.8480215026861038,0.1499356921627536,0.8894111111111112,0.1427087198768305,,,,
Webpage-HTML-only,92.0,90.2555910543131,94.16666666666667,92.16965742251223,0.9714792284139668,0.06550680468450515,0.9719791666666667,0.05315948350270312,,,,
Email + URL,96.0,93.67088607594937,98.66666666666667,96.1038961038961,0.9950654964720365,0.08480312803306553,0.9952222222222222,,Bimodal,0.5,0.5,
Email + Webpage,98.16666666666667,97.6897689768977,98.66666666666667,98.17578772802653,0.9976175729788195,0.043372019949770656,0.9975777777777779,,Bimodal,0.5,,0.5
URL + Webpage,95.16666666666667,94.13680781758957,96.33333333333334,95.22240527182866,0.9859846645696739,0.08011556017862764,0.9873333333333334,,Bimodal,,0.5,0.5
Email + URL + Webpage (Proposed),98.16666666666667,97.06840390879479,99.33333333333333,98.18780889621087,0.9986574978415146,0.06314342005154686,0.9986666666666666,,Trimodal,0.3333333333333333,0.3333333333333333,0.3333333333333333
Late Fusion Meta-classifier,98.16666666666667,96.76375404530745,99.66666666666667,98.19376026272579,0.9985243320567674,0.02388701551357579,0.9985222222222223,0.08944496680927667,,,,
Constrained Balanced Weighted Fusion,98.66666666666667,98.02631578947368,99.33333333333333,98.67549668874173,0.9982897075141539,0.06341207975117927,0.9983222222222222,0.21400521979500375,,0.55,0.30000000000000004,0.15000000000000002
Performance-Optimized Fusion,97.0,94.62025316455697,99.66666666666667,97.07792207792207,0.9975349019523666,0.08180359350294901,0.9975888888888889,0.2327935672638672,,0.41666666666666663,0.5,0.08333333333333333
